#OTU	A50
OTU_933	6.0
OTU_1040	0.0
OTU_497	5.0
OTU_271	1.0
OTU_365	0.0
OTU_66	5.0
OTU_636	0.0
OTU_233	0.0
OTU_377	0.0
OTU_128	3.0
OTU_341	0.0
OTU_781	1.0
OTU_639	1.0
OTU_450	1.0
OTU_487	10.0
OTU_453	0.0
OTU_279	11.0
OTU_115	3.0
OTU_337	1.0
OTU_544	0.0
OTU_550	0.0
OTU_615	0.0
OTU_1035	0.0
OTU_273	2.0
OTU_794	0.0
OTU_169	19.0
OTU_722	20.0
OTU_704	5.0
OTU_695	0.0
OTU_748	1.0
OTU_91	59.0
OTU_136	0.0
OTU_560	2.0
OTU_846	8.0
OTU_141	0.0
OTU_485	0.0
OTU_510	11.0
OTU_581	0.0
OTU_525	1.0
OTU_642	4.0
OTU_304	2.0
OTU_308	14.0
OTU_160	0.0
OTU_518	0.0
OTU_855	22.0
OTU_536	0.0
OTU_184	27.0
OTU_966	1.0
OTU_286	21.0
OTU_407	2.0
OTU_101	26.0
OTU_985	1.0
OTU_444	1.0
OTU_201	0.0
OTU_310	2.0
OTU_537	0.0
OTU_600	0.0
OTU_1002	0.0
OTU_204	0.0
OTU_809	0.0
OTU_900	6.0
OTU_410	0.0
OTU_995	1.0
OTU_865	0.0
OTU_309	0.0
OTU_759	0.0
OTU_405	4.0
OTU_349	6.0
OTU_1036	0.0
OTU_807	2.0
OTU_320	24.0
OTU_884	0.0
OTU_1065	1.0
OTU_222	0.0
OTU_923	0.0
OTU_831	0.0
OTU_1046	0.0
OTU_396	2.0
OTU_1044	0.0
OTU_195	0.0
OTU_275	9.0
OTU_65	74.0
OTU_119	0.0
OTU_763	1.0
OTU_214	15.0
OTU_538	9.0
OTU_70	3.0
OTU_198	107.0
OTU_869	0.0
OTU_991	0.0
OTU_251	5.0
OTU_206	0.0
OTU_241	3.0
OTU_336	0.0
OTU_171	1.0
OTU_542	15.0
OTU_660	0.0
OTU_392	1.0
OTU_950	0.0
OTU_820	1.0
OTU_596	6.0
OTU_389	0.0
OTU_957	0.0
OTU_749	1.0
OTU_95	83.0
OTU_472	1.0
OTU_221	12.0
OTU_657	1.0
OTU_234	2.0
OTU_818	0.0
OTU_937	0.0
OTU_414	8.0
OTU_1001	12.0
OTU_333	4.0
OTU_340	4.0
OTU_153	41.0
OTU_608	0.0
OTU_432	3.0
OTU_144	1.0
OTU_841	0.0
OTU_205	84.0
OTU_409	0.0
OTU_948	6.0
OTU_247	0.0
OTU_354	0.0
OTU_219	0.0
OTU_348	1.0
OTU_424	0.0
OTU_574	15.0
OTU_390	0.0
OTU_1098	2.0
OTU_296	0.0
OTU_780	0.0
OTU_1121	0.0
OTU_593	11.0
OTU_353	0.0
OTU_1080	0.0
OTU_419	5.0
OTU_513	0.0
OTU_665	0.0
OTU_1091	0.0
OTU_146	23.0
OTU_467	2.0
OTU_569	1.0
OTU_517	3.0
OTU_895	1.0
OTU_395	1.0
OTU_225	2.0
OTU_155	31.0
OTU_281	16.0
OTU_873	0.0
OTU_498	6.0
OTU_825	7.0
OTU_398	17.0
OTU_1003	1.0
OTU_168	11.0
OTU_650	1.0
OTU_266	1.0
OTU_870	1.0
OTU_397	10.0
OTU_503	0.0
OTU_240	0.0
OTU_326	8.0
OTU_269	77.0
OTU_850	20.0
OTU_197	0.0
OTU_166	0.0
OTU_515	29.0
OTU_402	0.0
OTU_200	0.0
OTU_232	6.0
OTU_830	0.0
OTU_244	0.0
OTU_690	0.0
OTU_216	8.0
OTU_442	44.0
OTU_327	6.0
OTU_586	0.0
OTU_609	1.0
OTU_358	0.0
OTU_507	0.0
OTU_1090	0.0
OTU_297	10.0
OTU_511	0.0
OTU_238	17.0
OTU_811	10.0
OTU_675	0.0
OTU_191	0.0
OTU_916	0.0
OTU_891	0.0
OTU_218	0.0
OTU_989	0.0
OTU_802	0.0
OTU_207	1.0
OTU_881	0.0
OTU_393	4.0
OTU_217	0.0
OTU_747	2.0
OTU_1117	1.0
OTU_994	1.0
OTU_836	1.0
OTU_307	0.0
OTU_345	0.0
OTU_813	0.0
OTU_584	0.0
OTU_111	0.0
OTU_620	0.0
OTU_757	0.0
OTU_742	0.0
OTU_856	2.0
OTU_448	0.0
OTU_478	5.0
OTU_248	9.0
OTU_391	0.0
OTU_632	0.0
OTU_295	22.0
OTU_582	0.0
OTU_598	0.0
OTU_628	0.0
OTU_100	3.0
OTU_630	0.0
OTU_267	0.0
OTU_366	0.0
OTU_772	0.0
OTU_829	8.0
OTU_316	6.0
OTU_1060	1.0
OTU_451	0.0
OTU_736	0.0
OTU_223	13.0
OTU_1055	1.0
OTU_646	0.0
OTU_824	0.0
OTU_907	0.0
OTU_1067	1.0
OTU_375	1.0
OTU_641	0.0
OTU_258	10.0
OTU_571	3.0
OTU_921	3.0
OTU_278	11.0
OTU_555	5.0
OTU_692	1.0
OTU_746	5.0
OTU_872	3.0
OTU_946	0.0
OTU_330	3.0
OTU_611	3.0
OTU_514	0.0
OTU_601	1.0
OTU_243	0.0
OTU_1106	1.0
OTU_956	0.0
OTU_687	0.0
OTU_959	0.0
OTU_616	14.0
OTU_170	1.0
OTU_553	17.0
OTU_658	2.0
OTU_299	64.0
OTU_832	0.0
OTU_400	1.0
OTU_328	0.0
OTU_477	1.0
OTU_612	1.0
OTU_352	29.0
OTU_172	0.0
OTU_464	0.0
OTU_468	3.0
OTU_774	0.0
OTU_534	0.0
OTU_203	119.0
OTU_280	15.0
OTU_423	0.0
OTU_849	0.0
OTU_860	0.0
OTU_252	11.0
OTU_627	0.0
OTU_290	8.0
OTU_421	2.0
OTU_947	1.0
OTU_466	13.0
OTU_452	13.0
OTU_458	10.0
OTU_674	0.0
OTU_431	0.0
OTU_305	6.0
OTU_750	0.0
OTU_435	0.0
OTU_437	0.0
