Well numbers	ASV number
100	92
100	80
100	93
100	87
100	98
100	87
100	83
100	104
100	97
100	92
100	86
100	99
100	95
100	92
100	94
100	86
100	94
100	84
100	89
100	92
100	91
100	99
100	84
100	83
100	103
100	89
100	100
100	95
100	90
100	85
200	132
200	148
200	133
200	130
200	157
200	135
200	124
200	139
200	127
200	145
200	126
200	128
200	133
200	135
200	130
200	129
200	121
200	125
200	130
200	138
200	120
200	140
200	142
200	132
200	146
200	137
200	146
200	153
200	132
200	153
300	169
300	183
300	171
300	179
300	165
300	142
300	176
300	171
300	169
300	181
300	169
300	154
300	172
300	170
300	162
300	161
300	160
300	188
300	169
300	165
300	173
300	180
300	180
300	167
300	164
300	164
300	174
300	167
300	169
300	163
400	209
400	210
400	185
400	210
400	193
400	215
400	198
400	203
400	205
400	190
400	206
400	200
400	190
400	185
400	187
400	186
400	186
400	194
400	195
400	186
400	201
400	187
400	210
400	191
400	198
400	197
400	224
400	215
400	199
400	192
500	212
500	213
500	208
500	224
500	226
500	220
500	218
500	252
500	218
500	213
500	226
500	221
500	217
500	212
500	223
500	210
500	215
500	213
500	222
500	222
500	230
500	218
500	214
500	231
500	202
500	226
500	216
500	210
500	229
500	208
600	246
600	246
600	237
600	220
600	243
600	231
600	240
600	231
600	229
600	256
600	234
600	255
600	236
600	243
600	233
600	239
600	239
600	241
600	227
600	235
600	250
600	253
600	252
600	241
600	247
600	239
600	240
600	252
600	234
600	249
700	251
700	263
700	270
700	258
700	255
700	251
700	264
700	258
700	254
700	260
700	262
700	274
700	256
700	249
700	254
700	267
700	252
700	254
700	250
700	248
700	264
700	259
700	240
700	256
700	263
700	258
700	264
700	264
700	254
700	251
800	281
800	259
800	280
800	267
800	271
800	251
800	278
800	263
800	268
800	275
800	279
800	276
800	262
800	291
800	275
800	248
800	281
800	272
800	278
800	279
800	280
800	274
800	275
800	272
800	280
800	283
800	269
800	276
800	265
800	265
900	281
900	283
900	280
900	295
900	273
900	297
900	270
900	281
900	277
900	289
900	283
900	292
900	277
900	293
900	292
900	284
900	288
900	275
900	300
900	272
900	283
900	287
900	282
900	273
900	297
900	283
900	290
900	291
900	289
900	294
1000	305
1000	299
1000	295
1000	295
1000	299
1000	293
1000	298
1000	304
1000	310
1000	299
1000	292
1000	299
1000	287
1000	295
1000	293
1000	302
1000	299
1000	306
1000	296
1000	310
1000	295
1000	300
1000	315
1000	294
1000	303
1000	305
1000	305
1000	301
1000	291
1000	292
1100	307
1100	322
1100	307
1100	317
1100	310
1100	300
1100	304
1100	309
1100	309
1100	301
1100	305
1100	308
1100	310
1100	307
1100	309
1100	315
1100	304
1100	316
1100	306
1100	323
1100	319
1100	309
1100	301
1100	306
1100	309
1100	297
1100	308
1100	317
1100	306
1100	309
1200	311
1200	324
1200	302
1200	318
1200	327
1200	322
1200	318
1200	319
1200	317
1200	331
1200	304
1200	322
1200	319
1200	315
1200	317
1200	322
1200	319
1200	325
1200	318
1200	327
1200	320
1200	311
1200	311
1200	321
1200	324
1200	322
1200	328
1200	304
1200	313
1200	314
1300	335
1300	331
1300	330
1300	337
1300	335
1300	328
1300	332
1300	317
1300	328
1300	331
1300	322
1300	320
1300	326
1300	323
1300	334
1300	319
1300	325
1300	322
1300	323
1300	331
1300	337
1300	329
1300	333
1300	334
1300	341
1300	328
1300	325
1300	327
1300	318
1300	325
1400	334
1400	331
1400	336
1400	342
1400	330
1400	339
1400	328
1400	333
1400	325
1400	342
1400	344
1400	343
1400	341
1400	332
1400	336
1400	338
1400	345
1400	343
1400	342
1400	332
1400	346
1400	335
1400	340
1400	338
1400	338
1400	333
1400	334
1400	340
1400	328
1400	340
1500	344
1500	343
1500	345
1500	348
1500	353
1500	343
1500	340
1500	345
1500	352
1500	351
1500	341
1500	345
1500	341
1500	355
1500	348
1500	353
1500	340
1500	348
1500	346
1500	349
1500	347
1500	344
1500	346
1500	342
1500	348
1500	338
1500	345
1500	348
1500	346
1500	341
1600	350
1600	359
1600	353
1600	345
1600	349
1600	357
1600	353
1600	353
1600	364
1600	344
1600	347
1600	357
1600	348
1600	361
1600	354
1600	349
1600	346
1600	353
1600	357
1600	362
1600	355
1600	361
1600	356
1600	358
1600	357
1600	349
1600	359
1600	355
1600	357
1600	360
1700	359
1700	353
1700	357
1700	362
1700	360
1700	362
1700	352
1700	358
1700	372
1700	362
1700	361
1700	365
1700	360
1700	354
1700	359
1700	365
1700	362
1700	368
1700	361
1700	359
1700	364
1700	356
1700	362
1700	351
1700	362
1700	356
1700	363
1700	360
1700	363
1700	359
1800	357
1800	359
1800	363
1800	366
1800	359
1800	351
1800	355
1800	370
1800	371
1800	365
1800	366
1800	368
1800	361
1800	363
1800	368
1800	366
1800	368
1800	358
1800	362
1800	371
1800	366
1800	371
1800	372
1800	363
1800	372
1800	370
1800	370
1800	367
1800	364
1800	364
1900	371
1900	376
1900	368
1900	368
1900	373
1900	370
1900	368
1900	370
1900	378
1900	369
1900	367
1900	365
1900	367
1900	370
1900	374
1900	369
1900	370
1900	371
1900	366
1900	377
1900	369
1900	370
1900	369
1900	371
1900	371
1900	371
1900	371
1900	373
1900	368
1900	368
2000	377
2000	377
2000	376
2000	379
2000	372
2000	376
2000	376
2000	370
2000	375
2000	376
2000	375
2000	376
2000	378
2000	376
2000	380
2000	377
2000	378
2000	378
2000	373
2000	376
2000	378
2000	378
2000	375
2000	380
2000	379
2000	372
2000	379
2000	377
2000	377
2000	376
