Sample	readssum	SampleID	library	plate	well	row	num
L1P01A12	0	L1P01A12	L1	P01	Negative	A	12
L1P02A12	0	L1P02A12	L1	P02	Negative	A	12
L1P03A12	0	L1P03A12	L1	P03	Negative	A	12
L1P04A12	2	L1P04A12	L1	P04	Negative	A	12
L1P05A12	1	L1P05A12	L1	P05	Negative	A	12
L1P06A12	0	L1P06A12	L1	P06	Negative	A	12
L1P07A12	13	L1P07A12	L1	P07	Negative	A	12
L1P08A12	20	L1P08A12	L1	P08	Negative	A	12
L1P09A12	14	L1P09A12	L1	P09	Negative	A	12
L1P10A12	0	L1P10A12	L1	P10	Negative	A	12
L1P11A12	0	L1P11A12	L1	P11	Negative	A	12
L1P12A12	0	L1P12A12	L1	P12	Negative	A	12
L1P13A12	0	L1P13A12	L1	P13	Negative	A	12
L1P14A12	0	L1P14A12	L1	P14	Negative	A	12
L1P15A12	0	L1P15A12	L1	P15	Negative	A	12
L1P16A12	0	L1P16A12	L1	P16	Negative	A	12
L1P17A12	0	L1P17A12	L1	P17	Negative	A	12
L1P18A12	2	L1P18A12	L1	P18	Negative	A	12
L1P19A12	0	L1P19A12	L1	P19	Negative	A	12
L1P20A12	0	L1P20A12	L1	P20	Negative	A	12
L1P21A12	0	L1P21A12	L1	P21	Negative	A	12
L1P22A12	0	L1P22A12	L1	P22	Negative	A	12
L1P23A12	0	L1P23A12	L1	P23	Negative	A	12
L1P24A12	0	L1P24A12	L1	P24	Negative	A	12
L1P25A12	0	L1P25A12	L1	P25	Negative	A	12
L1P26A12	0	L1P26A12	L1	P26	Negative	A	12
L1P27A12	0	L1P27A12	L1	P27	Negative	A	12
L1P28A12	0	L1P28A12	L1	P28	Negative	A	12
L1P29A12	0	L1P29A12	L1	P29	Negative	A	12
L1P30A12	0	L1P30A12	L1	P30	Negative	A	12
L1P31A12	1	L1P31A12	L1	P31	Negative	A	12
L1P32A12	1	L1P32A12	L1	P32	Negative	A	12
L1P33A12	0	L1P33A12	L1	P33	Negative	A	12
L1P34A12	0	L1P34A12	L1	P34	Negative	A	12
L1P35A12	1	L1P35A12	L1	P35	Negative	A	12
L1P36A12	0	L1P36A12	L1	P36	Negative	A	12
L1P37A12	0	L1P37A12	L1	P37	Negative	A	12
L1P38A12	0	L1P38A12	L1	P38	Negative	A	12
L1P39A12	0	L1P39A12	L1	P39	Negative	A	12
L1P40A12	1	L1P40A12	L1	P40	Negative	A	12
L1P41A12	1	L1P41A12	L1	P41	Negative	A	12
L1P42A12	0	L1P42A12	L1	P42	Negative	A	12
L1P43A12	0	L1P43A12	L1	P43	Negative	A	12
L1P44A12	0	L1P44A12	L1	P44	Negative	A	12
L1P45A12	0	L1P45A12	L1	P45	Negative	A	12
L1P01B12	89	L1P01B12	L1	P01	Positive	B	12
L1P02B12	505	L1P02B12	L1	P02	Positive	B	12
L1P03B12	451	L1P03B12	L1	P03	Positive	B	12
L1P04B12	124	L1P04B12	L1	P04	Positive	B	12
L1P05B12	120	L1P05B12	L1	P05	Positive	B	12
L1P06B12	132	L1P06B12	L1	P06	Positive	B	12
L1P07B12	261	L1P07B12	L1	P07	Positive	B	12
L1P08B12	339	L1P08B12	L1	P08	Positive	B	12
L1P09B12	256	L1P09B12	L1	P09	Positive	B	12
L1P10B12	240	L1P10B12	L1	P10	Positive	B	12
L1P11B12	254	L1P11B12	L1	P11	Positive	B	12
L1P12B12	219	L1P12B12	L1	P12	Positive	B	12
L1P13B12	1852	L1P13B12	L1	P13	Positive	B	12
L1P14B12	709	L1P14B12	L1	P14	Positive	B	12
L1P15B12	119	L1P15B12	L1	P15	Positive	B	12
L1P16B12	337	L1P16B12	L1	P16	Positive	B	12
L1P17B12	587	L1P17B12	L1	P17	Positive	B	12
L1P18B12	713	L1P18B12	L1	P18	Positive	B	12
L1P19B12	610	L1P19B12	L1	P19	Positive	B	12
L1P20B12	492	L1P20B12	L1	P20	Positive	B	12
L1P21B12	926	L1P21B12	L1	P21	Positive	B	12
L1P22B12	572	L1P22B12	L1	P22	Positive	B	12
L1P23B12	804	L1P23B12	L1	P23	Positive	B	12
L1P24B12	571	L1P24B12	L1	P24	Positive	B	12
L1P25B12	1025	L1P25B12	L1	P25	Positive	B	12
L1P26B12	32	L1P26B12	L1	P26	Positive	B	12
L1P27B12	787	L1P27B12	L1	P27	Positive	B	12
L1P28B12	514	L1P28B12	L1	P28	Positive	B	12
L1P29B12	584	L1P29B12	L1	P29	Positive	B	12
L1P30B12	783	L1P30B12	L1	P30	Positive	B	12
L1P31B12	528	L1P31B12	L1	P31	Positive	B	12
L1P32B12	480	L1P32B12	L1	P32	Positive	B	12
L1P33B12	1061	L1P33B12	L1	P33	Positive	B	12
L1P34B12	598	L1P34B12	L1	P34	Positive	B	12
L1P35B12	743	L1P35B12	L1	P35	Positive	B	12
L1P36B12	448	L1P36B12	L1	P36	Positive	B	12
L1P37B12	131	L1P37B12	L1	P37	Positive	B	12
L1P38B12	168	L1P38B12	L1	P38	Positive	B	12
L1P39B12	212	L1P39B12	L1	P39	Positive	B	12
L1P40B12	603	L1P40B12	L1	P40	Positive	B	12
L1P41B12	1484	L1P41B12	L1	P41	Positive	B	12
L1P42B12	1771	L1P42B12	L1	P42	Positive	B	12
L1P43B12	75	L1P43B12	L1	P43	Positive	B	12
L1P44B12	284	L1P44B12	L1	P44	Positive	B	12
L1P45B12	280	L1P45B12	L1	P45	Positive	B	12
