SampleID	Count	Purity	ASV	Taxonomy	Count2	Purity2	ASV2	Taxonomy2
L2P47E11	106	98.15	ASV_247	Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Actinotalea;Actinotalea_ferrariae	1	0.93	ASV_427	Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Actinotalea;Actinotalea_ferrariae
L2P46B3	84	100	ASV_248	Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Unassigned	0	NA	NA	NA
L2P19C12	80	100	ASV_248	Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Unassigned	0	NA	NA	NA
L2P35C3	94	96.91	ASV_249	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Unassigned;Unassigned	3	3.09	ASV_170	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_halophytocola
L2P45F8	63	90	ASV_249	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Unassigned;Unassigned	6	8.57	ASV_170	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_halophytocola
L2P46C3	106	100	ASV_250	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Unassigned	0	NA	NA	NA
L1P18G8	53	71.62	ASV_250	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Unassigned	21	28.38	ASV_3	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Piscinibacter;Piscinibacter_aquaticus
L1P06G3	160	100	ASV_251	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Unassigned;Reyranella;Reyranella_massiliensis	0	NA	NA	NA
L1P16C6	124	100	ASV_252	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Unassigned;Unassigned	0	NA	NA	NA
L1P28E12	84	100	ASV_253	Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Unassigned	0	NA	NA	NA
L2P42B5	48	100	ASV_253	Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Unassigned	0	NA	NA	NA
