ID	Taxonomy	Well1	Purity1	Count1	Well2	Purity2	Count2	Well3	Purity3	Count3	Well4	Purity4	Count4	Well5	Purity5	Count5
ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	L1P22D5	100	982	L1P24F9	100	975	L1P22D1	100	948	L1P24F7	100	937	L1P26D10	100	918
ASV_2	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Piscinibacter;Piscinibacter_aquaticus	L1P30G7	100	646	L1P07C8	100	586	L1P21F10	100	582	L1P07C3	100	560	L1P18G6	100	536
ASV_3	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;Kinneretia_asaccharophila	L1P17F9	100	700	L1P15D4	100	690	L1P27F1	100	690	L1P18F7	100	666	L1P25B6	100	647
ASV_4	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Hydrogenophaga_bisanensis	L1P22F8	100	1040	L1P24D2	100	976	L1P05D10	100	848	L1P25F7	100	832	L1P08D6	100	827
ASV_5	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	L1P22E2	100	955	L1P13F10	100	784	L1P07F11	100	710	L1P37F6	100	705	L1P06D11	100	688
ASV_6	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Piscinibacter;Piscinibacter_aquaticus	L1P16D7	100	678	L1P21E2	100	555	L1P19C6	100	544	L1P03C3	100	470	L1P09A4	100	367
ASV_7	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas_mexicana	L1P26B6	100	762	L1P23F5	100	726	L1P07F8	100	686	L1P06F1	100	680	L1P33E6	100	645
ASV_8	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_icense	L1P18F12	100	525	L1P15F3	100	495	L1P21F4	100	465	L1P15C6	100	464	L1P24E10	100	380
ASV_9	Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;Unassigned	L1P23D9	100	869	L1P26D9	100	739	L1P25F10	100	665	L1P14F8	100	634	L1P24C11	100	605
ASV_10	Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;Escherichia_fergusonii	L1P01B12	97.75	87	L1P39B12	97.64	207	L1P12B12	97.26	213	L1P18B12	97.19	693	L1P06B12	96.97	128
ASV_11	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Unassigned	L1P37D2	100	756	L1P13D8	100	543	L1P34F10	100	499	L1P40E11	100	460	L1P18E7	100	437
ASV_12	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_pygmaeum	L1P06D9	100	687	L1P04F6	100	638	L1P37B4	100	621	L1P19E4	100	583	L1P37C12	100	534
ASV_13	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_icense	L1P05D2	100	758	L1P07E4	100	522	L1P43E4	100	443	L1P38E1	100	430	L1P31F6	100	418
ASV_14	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_manausense	L1P04D8	100	585	L1P25E5	100	582	L1P32E7	100	427	L1P30A10	100	417	L1P39C2	100	379
ASV_15	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;Kinneretia_asaccharophila	L1P30D8	100	841	L1P04E1	100	707	L1P31H1	100	429	L1P17D3	99.85	681	L1P34D1	99.79	470
ASV_16	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Kinneretia;Kinneretia_asaccharophila	L1P24F4	100	953	L1P28F5	100	660	L1P08E1	100	658	L1P08F6	100	623	L1P29B6	100	525
ASV_17	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lysobacter_brunescens	L1P26F2	100	726	L1P08D5	100	711	L1P06G4	100	556	L1P03G11	100	441	L1P18H10	100	437
ASV_18	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Methyloversatilis;Methyloversatilis_universalis	L1P13F8	100	718	L1P26E11	100	689	L1P37G11	100	501	L1P44E11	100	490	L1P39F5	100	485
ASV_19	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	L1P06F2	100	698	L1P18D7	100	460	L1P07D11	100	458	L1P38F6	100	370	L1P16C9	100	364
ASV_20	Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Unassigned;Unassigned	L1P23F6	100	614	L1P15D9	100	606	L1P43E3	100	538	L1P19E9	100	533	L1P38E11	100	487
ASV_21	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Unassigned	L1P11E4	100	812	L1P11E7	100	765	L1P06F7	100	632	L1P03E1	100	594	L1P28D8	100	555
ASV_22	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas_gei	L1P26F9	100	930	L1P26F6	100	885	L1P08F10	100	735	L1P09E7	100	655	L1P23C10	100	619
ASV_23	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Uliginosibacterium;Uliginosibacterium_gangwonense	L1P18D1	100	762	L1P37B3	100	665	L1P24G8	100	622	L1P41C10	100	504	L1P42H3	100	492
ASV_24	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Unassigned	L1P07E5	100	528	L1P12C7	100	324	L1P16B5	99.76	423	L1P02C6	99.69	325	L1P34E7	99.6	498
ASV_25	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	L1P10H5	99.77	441	L1P06F3	99.67	600	L1P10F3	99.63	544	L1P41B7	99.56	456	L1P17C2	99.37	470
ASV_26	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Bosea_lathyri	L1P37F4	100	687	L1P43E7	100	534	L1P23G3	100	502	L1P04B5	100	381	L1P21D12	100	377
ASV_27	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;Luteimonas_cucumeris	L1P09F6	100	675	L1P21D5	100	548	L1P34C6	100	406	L1P06A9	100	288	L1P21G4	100	98
ASV_28	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;Azospira_oryzae	L1P25F12	100	618	L1P21F2	100	434	L1P38B3	100	402	L1P19A5	100	349	L1P33A3	100	315
