ID	Taxonomy	Well1	Purity1	Count1	Well2	Purity2	Count2	Well3	Purity3	Count3	Well4	Purity4	Count4	Well5	Purity5	Count5
ASV_29	Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides;Unassigned	L1P11G3	100	404	L1P41E10	100	394	L1P39D5	100	381	L1P40D8	100	366	L1P01C8	100	253
ASV_30	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Unassigned	L1P11C4	100	499	L1P17G6	100	469	L1P13E5	100	333	L1P37B8	100	330	L1P10H10	100	315
ASV_31	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Devosia_insulae	L1P05D4	100	585	L1P40C5	100	425	L1P32C5	100	377	L1P41H6	100	351	L1P15E12	100	293
ASV_32	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_testaceum	L1P04E6	100	654	L1P43F4	100	625	L1P39F6	100	514	L1P34E2	100	344	L1P20B10	100	252
ASV_33	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium_subterraneum	L1P41C8	100	444	L1P16F2	99.85	668	L1P38C4	99.31	429	L1P45C3	98.21	329	L1P36G6	98.03	348
ASV_34	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Steroidobacter;Steroidobacter_agariperforans	L1P06C4	100	616	L1P33E5	100	571	L1P44D2	100	506	L1P43G8	100	428	L1P38G11	100	377
ASV_35	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Hydrogenophaga_bisanensis	L1P13F4	100	577	L1P39F9	100	553	L1P28G11	100	545	L1P18G4	100	393	L1P45G2	98.25	393
ASV_36	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Unassigned	L1P07F3	100	784	L1P07F1	100	49	L1P30H9	98.13	419	L1P06B7	94.89	334	L1P14E1	94.27	691
ASV_37	Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Marmoricola;Marmoricola_scoriae	L1P06D8	100	677	L1P09F8	100	524	L1P08E9	100	460	L1P07G9	100	397	L1P40F7	100	378
ASV_38	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_kitamiense	L1P05D3	100	743	L1P08F9	100	622	L1P08F1	100	528	L1P41A2	100	206	L1P37A10	100	108
ASV_39	Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_salmonicida_subsp._achromogenes	L1P31D8	100	454	L1P40D6	100	429	L1P31B4	100	374	L1P27A9	70.74	249	L1P43G10	57.73	269
ASV_40	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	L1P37G10	100	563	L1P06H1	100	440	L1P08A6	100	307	L1P02C7	100	297	L1P30B11	86.3	460
ASV_41	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	L1P14D3	100	605	L1P04C11	100	509	L1P10B1	100	262	L1P44F1	100	260	L1P01G11	100	233
ASV_42	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Unassigned	L1P37D9	100	716	L1P04G1	100	481	L1P40G7	100	392	L1P17C8	99.79	479	L1P24H2	86.55	386
ASV_43	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Unassigned	L1P17E6	99.83	593	L1P22E1	99.61	1032	L1P30F8	92.5	666	NA	NA	NA	NA	NA	NA
ASV_44	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	L1P28B5	100	487	L1P18C7	100	386	L1P34G6	100	382	L1P28F6	96.3	26	L1P44H10	91.61	273
ASV_45	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;Unassigned	L1P30F2	100	309	L1P44F2	100	182	L1P43A7	100	169	L1P43G12	100	162	L1P11G5	99.67	301
ASV_46	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Unassigned	L1P14F5	100	751	L1P08G4	100	509	L1P05B5	100	444	L1P19B10	85.45	282	L1P33E7	73.73	275
ASV_47	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Unassigned	L1P14E5	100	558	L1P43D4	100	537	L1P19G11	100	413	L1P32A10	100	351	L1P02B6	100	272
ASV_48	Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Unassigned;Unassigned	L1P25D12	100	568	L1P05C7	100	490	L1P41G2	100	409	L1P38B6	100	327	L1P18C3	100	304
ASV_49	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;Unassigned	L1P14F7	100	718	L1P21F12	100	448	L1P04D1	100	425	L1P02B10	100	267	L1P07H12	99.78	455
ASV_50	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_rosettiformans	L1P17E4	100	513	L1P40G4	100	367	L1P09C5	99.71	347	L1P20H7	99.25	526	L1P14A6	98.64	290
ASV_51	Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Ferrovibrio;Ferrovibrio_denitrificans	L1P12H6	100	248	L1P15E9	99.82	562	L1P40B11	99.77	440	L1P36C8	99.72	355	L1P10D11	76.19	272
ASV_52	Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_rivuli	L1P28E4	88.94	418	L1P02E10	87.96	285	L1P20D6	79.52	435	NA	NA	NA	NA	NA	NA
ASV_53	Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas;Cellulomonas_oligotrophica	L1P10E4	100	495	L1P17C4	100	426	L1P10B2	100	226	L1P04H11	96.68	495	L1P43E1	65.6	267
ASV_54	Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Unassigned;Unassigned	L1P44E6	100	366	L1P12E2	100	360	L1P14H8	100	258	L1P39C12	100	253	L1P42E2	100	200
ASV_55	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;Unassigned	L1P27D2	99.69	641	L1P11D8	99.66	582	L1P13F6	99.52	626	L1P19C8	58.57	188	NA	NA	NA
ASV_56	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Rubrivivax;Rubrivivax_gelatinosus	L1P33C6	100	545	L1P26A5	100	526	L1P39E11	100	514	L1P45A2	100	178	L1P02C1	66.9	190
ASV_57	Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Ferrovibrio;Ferrovibrio_denitrificans	L1P23F4	99.87	776	L1P14B6	99.84	606	L1P28G6	99.81	519	NA	NA	NA	NA	NA	NA
ASV_58	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;Unassigned	L1P24F8	100	408	L1P07G5	100	400	L1P06A7	100	358	L1P09H5	100	246	L1P19B9	97.87	46
ASV_59	Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_Sedis_XII;Exiguobacterium;Exiguobacterium_indicum	L1P17C9	78.12	307	L1P15H12	69.82	192	L1P09D1	67.19	340	L1P03F2	67.02	317	L1P17F11	57.04	247
ASV_60	Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_rivuli	L1P17B9	42.93	88	L1P35G12	42.75	109	L1P04G6	41.36	182	L1P31G10	40.46	159	L1P16G7	39.46	174
ASV_61	Proteobacteria;Unassigned;Unassigned;Unassigned;Unassigned;Unassigned	L1P24E11	100	939	L1P22F5	100	934	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_62	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azovibrio;Azovibrio_restrictus	L1P30D12	100	590	L1P03D8	100	538	L1P28H5	87.06	350	NA	NA	NA	NA	NA	NA
ASV_63	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter_segnis	L1P22H12	100	635	L1P39D7	100	558	L1P04B10	100	485	NA	NA	NA	NA	NA	NA
ASV_64	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_incertae_sedis;Phreatobacter;Phreatobacter_oligotrophus	L1P06D4	100	599	L1P08F7	100	571	L1P16F3	100	385	L1P14C12	99.59	245	L1P01B6	97.56	40
ASV_65	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;Dechloromonas_hortensis	L1P44F8	100	474	L1P34D9	100	445	L1P03G10	100	419	L1P10C2	100	314	NA	NA	NA
ASV_66	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;Azospira_oryzae	L1P44A5	98.8	330	L1P07A5	98.33	118	L1P15G3	96.98	353	L1P42C7	96.69	350	L1P12F3	83.59	275
ASV_67	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;Altererythrobacter_troitsensis	L1P36F1	100	417	L1P05C12	100	415	L1P04G12	100	346	L1P41B11	100	290	NA	NA	NA
ASV_68	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Unassigned	L1P21C7	99.56	224	L1P28F7	99.54	216	L1P33G8	98.92	92	L1P23D12	98.84	594	L1P24D1	98.44	252
ASV_69	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Unassigned	L1P23H1	100	466	L1P15D5	100	416	L1P21F1	100	316	L1P44G8	99.68	316	NA	NA	NA
ASV_70	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Unassigned	L1P05D11	100	520	L1P23H9	98.21	495	L1P05F5	91.97	527	NA	NA	NA	NA	NA	NA
ASV_71	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;Unassigned	L1P34H3	99.74	378	L1P42E11	99.65	570	L1P36E1	95.56	474	NA	NA	NA	NA	NA	NA
ASV_72	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	L1P13F9	99.87	754	L1P22A2	99.62	263	L1P25G5	99.23	518	L1P32A2	97.73	43	NA	NA	NA
ASV_73	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Unassigned	L1P26C10	100	373	L1P34E6	100	357	L1P11F9	100	347	L1P27B1	100	206	L1P21B4	100	121
ASV_74	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azonexus;Unassigned	L1P19F7	100	450	L1P38D5	100	411	L1P23C2	87.05	437	L1P08G8	51.67	155	NA	NA	NA
ASV_75	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;Georgfuchsia_toluolica	L1P33F8	100	484	L1P30B10	100	49	L1P03F7	100	20	L1P43C5	99.59	241	L1P22G9	99.56	454
ASV_76	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_otitidis	L1P05F7	100	711	L1P39B7	100	447	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_77	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus_marcusii	L1P08F2	100	628	L1P20G8	99.29	417	L1P40F8	62.4	234	NA	NA	NA	NA	NA	NA
ASV_78	Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;Dickeya_paradisiaca	L1P11C10	100	551	L1P05G7	100	468	L1P01C1	99.59	244	NA	NA	NA	NA	NA	NA
ASV_79	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Unassigned	L1P14E9	100	601	L1P05C3	97.68	506	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_80	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	L1P08F4	100	731	L1P36E11	99.82	541	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_81	Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria;Kocuria_polaris	L1P26E3	100	667	L1P39G3	90.82	287	L1P32E10	64.77	228	NA	NA	NA	NA	NA	NA
ASV_82	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	L1P34E11	100	425	L1P08E3	99.47	747	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_83	Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Unassigned;Unassigned	L1P28B3	100	394	L1P42B3	100	351	L1P34E1	100	99	L1P02H11	98.78	324	NA	NA	NA
ASV_84	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter_segnis	L1P18B1	100	335	L1P15E10	99.86	698	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_85	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium;Aquabacterium_fontiphilum	L1P09G9	100	492	L1P20A7	90	198	L1P31C7	89.42	507	NA	NA	NA	NA	NA	NA
ASV_86	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;Ensifer_adhaerens	L1P02E7	100	346	L1P23D11	75.81	514	L1P43C9	75.14	390	L1P08A12	15	3	NA	NA	NA
ASV_87	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	L1P31F7	100	601	L1P43D1	100	559	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_88	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_yantingensis	L1P37C8	99.81	514	L1P20E1	93.07	510	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_89	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Unassigned	L1P44E9	99.79	472	L1P05C11	99.32	580	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_90	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Unassigned	L1P41D1	100	446	L1P07B8	99.49	391	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_91	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Unassigned;Reyranella;Reyranella_massiliensis	L1P23E8	100	1046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_92	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	L1P25G7	100	585	L1P02F8	100	355	L1P32H10	100	111	NA	NA	NA	NA	NA	NA
ASV_93	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned	L1P32F12	100	475	L1P11C2	99.82	566	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_94	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Unassigned	L1P41D8	100	470	L1P42D8	86.31	208	L1P31B12	80.3	424	NA	NA	NA	NA	NA	NA
ASV_95	Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides;Nocardioides_kribbensis	L1P44B8	99.78	460	L1P33A2	99.74	382	L1P20B8	14.49	31	NA	NA	NA	NA	NA	NA
ASV_96	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Bacillus;Unassigned	L1P20A6	99.6	249	L1P11E8	83.67	620	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_97	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;Unassigned	L1P04E7	100	593	L1P06B5	100	229	L1P25C11	99.68	310	NA	NA	NA	NA	NA	NA
ASV_98	Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azonexus;Unassigned	L1P43E8	100	608	L1P12F11	91.18	341	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_99	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_aestuarii	L1P27A1	100	449	L1P42A2	100	42	L1P16H11	96.63	344	NA	NA	NA	NA	NA	NA
ASV_101	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Unassigned	L1P22H9	99.45	543	L1P42H6	92.22	415	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_102	Firmicutes;Bacilli;Bacillales;Planococcaceae;Chryseomicrobium;Unassigned	L1P25E2	100	738	L1P39C1	59.87	179	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_103	Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Unassigned;Unassigned	L1P37C1	99.84	613	L1P28A2	99.77	430	L1P33E3	81.82	27	NA	NA	NA	NA	NA	NA
ASV_104	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	L1P31B8	100	172	L1P31A8	99.74	391	L1P30B9	98.67	444	NA	NA	NA	NA	NA	NA
ASV_105	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_hominis	L1P10E11	99.72	353	L1P12D7	95.32	367	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_106	Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides;Unassigned	L1P37C7	100	623	L1P43D3	81.84	392	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_107	Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Unassigned;Unassigned	L1P26H8	100	24	L1P26G8	99.69	647	L1P18C5	99.08	323	NA	NA	NA	NA	NA	NA
ASV_108	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Bosea_eneae	L1P26H5	100	548	L1P36G7	100	304	L1P08G12	99.56	224	NA	NA	NA	NA	NA	NA
ASV_109	Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Micromonospora_chalcea	L1P02F1	100	367	L1P24G5	100	283	L1P15B1	100	33	NA	NA	NA	NA	NA	NA
ASV_110	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium;Unassigned	L1P24H11	100	632	L1P03D12	100	461	L1P35C1	98.39	61	NA	NA	NA	NA	NA	NA
ASV_111	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Unassigned	L1P14D12	100	780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_112	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Kaistia;Unassigned	L1P29E3	100	47	L1P37E1	99.87	784	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_113	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Rhizobacter;Unassigned	L1P04G11	100	529	L1P02C5	84.67	221	L1P07H3	50.21	118	NA	NA	NA	NA	NA	NA
ASV_114	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Chryseobacterium_takakiae	L1P07F5	100	435	L1P21H4	100	312	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_115	Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides;Unassigned	L1P17C5	98.48	453	L1P06B4	98.45	508	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_116	Actinobacteria;Actinobacteria;Actinomycetales;Demequinaceae;Lysinimicrobium;Lysinimicrobium_mangrovi	L1P26E6	100	737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_117	Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides;Unassigned	L1P07A2	99.38	318	L1P35G2	98.5	328	L1P39H8	95.71	312	NA	NA	NA	NA	NA	NA
ASV_118	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Unassigned;Reyranella;Reyranella_graminifolii	L1P30D6	99.18	844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_119	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas;Pleomorphomonas_oryzae	L1P30E11	100	763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_120	Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Aquipuribacter;Aquipuribacter_hungaricus	L1P06D1	100	549	L1P30F7	100	364	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_121	Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Actinotalea;Actinotalea_fermentans	L1P37F8	100	776	L1P31H2	91.11	41	NA	NA	NA	NA	NA	NA	NA	NA	NA
